"Story","Title","Result","Date","Stability","Duration (s)"
"User CURD test with steps","This will create a user","SUCCESS","2022-06-21T11:27:03.715+01:00[Europe/London]","0.0","7.27"
"User CURD test with steps","This will update a user by PUT","SUCCESS","2022-06-21T11:27:11.699+01:00[Europe/London]","0.0","0.22"
"User CURD test with steps","This will update a user by Patch","SUCCESS","2022-06-21T11:27:11.922+01:00[Europe/London]","0.0","0.21"
"User CURD test with steps","This will Delete a user ","SUCCESS","2022-06-21T11:27:12.130+01:00[Europe/London]","0.0","0.21"
"User CURD test with steps","1. This will verify if Page = 2","SUCCESS","2022-06-21T11:27:12.340+01:00[Europe/London]","0.0","0.18"
"User CURD test with steps","2. This will if verify Per_page = 6","SUCCESS","2022-06-21T11:27:12.525+01:00[Europe/London]","0.0","0.18"
"User CURD test with steps","5. This will if verify list of data = 6","SUCCESS","2022-06-21T11:27:13.065+01:00[Europe/London]","0.0","0.16"
"User CURD test with steps","6. This will if verify fifth data avatar=https://reqres.in/img/faces/12-image.jpg","SUCCESS","2022-06-21T11:27:13.226+01:00[Europe/London]","0.0","0.16"
"User CURD test with steps","7. This will if verify support.url =https://reqres.in/#support-heading","SUCCESS","2022-06-21T11:27:13.392+01:00[Europe/London]","0.0","0.14"
"User CURD test with steps","8. This will if verify support.text = To keep ReqRes free, contributions towards server costs are appreciated!","SUCCESS","2022-06-21T11:27:13.536+01:00[Europe/London]","0.0","0.16"
